date of purchase,book TITLE,price of  book ,qty of book ,after cut charges paybele
28-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,706
28-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,706
28-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,706
28-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,706
28-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,706
28-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,706
28-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,706
28-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,706
28-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,706
28-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,706
28-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,706
28-06-2021,UGC Net Digest - Physical Education ( Third Revised and Update Edition) In 3 Vol Set,2100,1,1782
28-06-2021,UGC Net Digest - Physical Education ( Third Revised and Update Edition) In 3 Vol Set,2100,1,1827
28-06-2021,UGC Net Digest - Physical Education ( Third Revised and Update Edition) In 3 Vol Set,2100,1,1782
28-06-2021,Physical Education and Sports Science,700,1,459
28-06-2021,SAMPURN SHARIRIK SHIKSHA,500,1,306
28-06-2021,SAMPURN SHARIRIK SHIKSHA,500,1,294
28-06-2021,SAMPURN SHARIRIK SHIKSHA,500,1,294
28-06-2021,SAMPURN SHARIRIK SHIKSHA,500,1,294
28-06-2021,SAMPURN SHARIRIK SHIKSHA,500,1,294
28-06-2021,SAMPURN SHARIRIK SHIKSHA,500,1,294
28-06-2021,SAMPURN SHARIRIK SHIKSHA,500,1,294
28-06-2021,SAMPURN SHARIRIK SHIKSHA,500,1,294
28-06-2021,SAMPURN SHARIRIK SHIKSHA,500,1,294
28-06-2021,SAMPURN SHARIRIK SHIKSHA,500,1,294
